ad_id,ad_group_name,impressions,clicks,conversions,cost,Keywords
424913856926,PC Cleaner,137.0,23.0,1.0,36151208.0," pc cleaner,PC Cleaner"
421064739998,Reimage,148.0,35.0,1.0,137313295.0," reimage,Reimage"
330321565609,PC Cleaner,49.0,4.0,1.0,7390000.0," pc speed up,PC Cleaner"
324967287499,Computer Sneller Maken,21.0,3.0,1.0,4060000.0,"Computer Sneller Maken, laptop sneller"
302592686579,Ccleaner Free-EX,30.0,12.0,1.0,8792608.0," ccleaner free,Ccleaner Free-EX"
302579823526,Cleaner - Broad - PRIME,262.0,32.0,1.0,31316252.0,"Cleaner - Broad - PRIME, pc cleaner"
302579823283,Limpieza PC,1698.0,116.0,1.0,91445044.0,"Limpieza PC, limpieza pc"
302579823277,Limpiar PC,858.0,41.0,1.0,20060000.0,"Limpiar PC, ordenador lento"
302295972903,C Cleaner download - EX,10.0,1.0,1.0,2810000.0,"C Cleaner download - EX, download c cleaner"
301405467113,PC Cleaner - EX - PRIME,349.0,42.0,1.0,63293452.0," cleaner pc,PC Cleaner - EX - PRIME"
301405467026,Nettoyage Windows - PH,169.0,13.0,1.0,16990000.0," nettoyage windows,Nettoyage Windows - PH"
280331843959,Pulizia PC,198.0,10.0,1.0,8300000.0,"Pulizia PC, pulizia pc"
280331843950,Computer Lento,58.0,7.0,1.0,5420000.0,"Computer Lento, pc lento cosa fare gratis"
271634286398,Pc cleaner-EX - PRIME,15.0,5.0,1.0,23892677.0,"Pc cleaner-EX - PRIME, pccleaner"
271597733994,Disk Clean Up-EX,1181.0,215.0,1.0,39084637.0,"Disk Clean Up-EX, disk cleanup"
271597733988,Clean Computer-PH,2253.0,328.0,1.0,44809252.0," clean computer,Clean Computer-PH"
271597733961,Pc cleaner-EX,260.0,42.0,1.0,26810000.0," pc file cleaner,Pc cleaner-EX"
271597733880,Cclean.com-EX,274.0,53.0,1.0,9490000.0," www cclean,Cclean.com-EX"
271597733757,PCCleaner-PH,271.0,69.0,1.0,9840983.0," pccleaner,PCCleaner-PH"
266900796468,Ccleaner Free-EX,5.0,1.0,1.0,640000.0," ccleaner free,Ccleaner Free-EX"
250583296986,Clean My PC-PH,90.0,4.0,1.0,960000.0," clean my pc,Clean My PC-PH"
250583296479,My Clean PC-EX,3.0,1.0,1.0,280000.0," how do i get rid of cookies on my computer,My Clean PC-EX"
250583296467,My Clean PC-EX,74.0,6.0,1.0,2080000.0," defrag my computer for free,My Clean PC-EX"
448088392741,Pc cleaner-EX - PRIME,137.0,19.0,1.0,66982349.0,"Pc cleaner-EX - PRIME, my pc cleaner"
657081892206,Registry Mechanic Cleaner - PH,12.0,3.0,1.0,1710000.0,"Registry Mechanic Cleaner - PH, registry mechanic"
535453173494,Speed Up PC - MOD BR,434.0,24.0,1.0,61046817.0,"Speed Up PC - MOD BR, speed up my pc"
550231108203,Limpiar PC,354.0,30.0,1.0,16853461.0,"Limpiar PC, ordenador lento"
499343628648,PC Cleaner V2,171.0,25.0,1.0,60789733.0," pc cleaner,PC Cleaner V2"
499117597088,PC clean up Soft-PH,119.0,3.0,1.0,12640000.0,"PC clean up Soft-PH, best performance software"
499117597082,Cleaner Broad-BR,79.0,10.0,1.0,27990000.0," regcleaner free,Cleaner Broad-BR"
535453173320,Clean My Computer-PH,282.0,19.0,1.0,48771666.0,"Clean My Computer-PH, how to clean my computer"
499117596881,Ccleaner.com-EX,138.0,8.0,1.0,10990365.0," ccleaner com free,Ccleaner.com-EX"
535327817466,C cleaner Free Download-EX,481.0,17.0,1.0,28071098.0,"C cleaner Free Download-EX, free c cleaner download"
499117596857,Cc cleanerS-EX,25.0,1.0,1.0,2090000.0," cc cleaners,Cc cleanerS-EX"
535327818465,Ccleaner,118.0,5.0,1.0,6840000.0,"Ccleaner, ccleaner free"
497791521728,Hard Drive Clean up-EX,616.0,39.0,1.0,108639951.0,"Hard Drive Clean up-EX, how to cleanup hard drive"
497791521563,Speed Up PC,48.0,5.0,1.0,18600617.0," program to speed up windows 10,Speed Up PC"
497791521512,Pc cleaner Free,322.0,56.0,1.0,289245652.0,"Pc cleaner Free, pc cleaner free"
535327830417,Computer clean up-PH,242.0,17.0,1.0,35263498.0,"Computer clean up-PH, best free pc speed up software"
468176118395,Limpieza PC,759.0,61.0,1.0,22080000.0,"Limpieza PC, limpieza de pc gratis"
583942025940,Tietokoneen Nopeuttaminen,207.0,20.0,1.0,22321585.0," hidas tietokone nopeammaksi,Tietokoneen Nopeuttaminen"
509167589489,Pc Opschonen,541.0,70.0,1.0,71494618.0,"opschonen pc gratis, opschonen pc,Pc Opschonen"
594393826517,PC Cleaner Pro - PH,25.0,8.0,0.5,8569999.0," pc cleaner pro,PC Cleaner Pro - PH"
499117596959,Cclean-PH,18.0,1.0,0.5,1450000.0," cclean,Cclean-PH"
558523439734,Pc cleaner-EX - PRIME,172.0,23.0,0.5,30553644.0,"Pc cleaner-EX - PRIME, pc cleaner"
657081891831,Cleaner Broad-BR,1397.0,173.0,0.5,53665423.0,"Cleaner Broad-BR, pc cleaner"
499117596872,Ccleaner Download,319.0,24.0,0.5,68167274.0," ccleaner download,Ccleaner Download"
246589578143,Computer clean up-PH,4.0,1.0,0.5,2730000.0," computer system cleaner,Computer clean up-PH"
330339345062,Trage PC,72.0,11.0,0.5,18581240.0,"Trage PC, pc wordt traag"
440347484592,Speed Up PC - MOD BR,45.0,4.0,0.5,7970000.0,"Speed Up PC - MOD BR, speed up your laptop"
593838806534,Ccleaner,1899.0,97.0,0.435335,121805123.0,"Ccleaner, Ccleaner"
499343628852,Gratis PC Cleaner V2,22.0,3.0,0.394212,13034412.0,"Gratis PC Cleaner V2, gratis pc cleaner"
499343628855,Gratis PC Cleaner V2,45.0,14.0,0.394212,30246345.0,"Gratis PC Cleaner V2, gratis pc cleaner"
301405467002,CCCleaner - PH,40.0,4.0,0.333333,5110000.0,"CCCleaner - PH, cccleaner"
593838806570,C Cleaner free - EX,11.0,1.0,0.333333,1550000.0,"C Cleaner free - EX, free c cleaner"
468176118362,PC Cleaner - Pro,96.0,14.0,0.272728,5315283.0," pc cleaner,PC Cleaner - Pro"
593838806615,PC Reinigen - BR,332.0,32.0,0.102002,61037750.0,"PC Reinigen - BR, pc reinigen software"
468176118233,PC Cleaner - Gratis,56.0,3.0,0.090909,730000.0,"PC Cleaner - Gratis, gratis pc cleaner"
648784812150,Festplatte aufräumen - PH,185.0,17.0,0.072886,28449191.0,"Festplatte aufräumen - PH, festplatte aufräumen"
